City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
296,Waipawa,NZ,-41.4122,175.5153,56.89,63,73,11.23,broken clouds
297,Sechura,PE,-5.5569,-80.8222,67.96,78,100,10.78,overcast clouds
298,Fuyang,CN,32.9,115.8167,33.17,23,70,5.35,broken clouds
299,Aykhal,RU,66.0,111.5,-24.3,97,100,17.13,light snow
300,Fairbanks,US,64.8378,-147.7164,3.6,83,100,0.0,light snow
301,Selcuk,TR,37.9514,27.3685,65.01,88,15,5.44,few clouds
302,Tabou,CI,4.423,-7.3528,76.62,88,100,3.42,moderate rain
303,Bijie,CN,27.3125,105.2942,32.81,86,100,5.5,overcast clouds
304,Tura,IN,25.5198,90.2201,67.03,76,1,2.21,clear sky
305,Shalinskoye,RU,55.7228,93.7594,-4.0,83,97,9.66,overcast clouds
306,Half Moon Bay,US,37.4636,-122.4286,53.62,73,100,8.05,overcast clouds
307,Yar-Sale,RU,66.8333,70.8333,-8.54,99,8,6.22,clear sky
308,Susangerd,IR,31.5608,48.1831,69.06,74,37,7.7,scattered clouds
309,Lima,PE,-12.0432,-77.0282,68.25,68,0,11.5,clear sky
310,Kilindoni,TZ,-7.9139,39.6668,78.73,82,99,11.1,light rain
311,Mercedes,AR,-34.6515,-59.4307,68.65,91,100,9.62,overcast clouds
312,Walvis Bay,NA,-22.9575,14.5053,61.09,94,29,8.05,scattered clouds
313,Hay River,CA,60.8156,-115.7999,-16.62,76,20,9.22,few clouds
314,Tortoli,IT,39.9256,9.6572,48.02,76,0,13.8,clear sky
315,Santa Fe,AR,-31.6333,-60.7,77.02,67,99,10.0,light rain
316,Muhos,FI,64.808,25.9931,26.89,99,96,3.36,overcast clouds
317,Husavik,IS,66.0449,-17.3389,41.94,91,70,12.73,broken clouds
318,Sabirabad,AZ,40.0095,48.4752,40.91,92,100,5.06,light rain
319,Berdigestyakh,RU,62.0989,126.6992,-22.04,97,100,5.48,overcast clouds
320,La Ferte-Bernard,FR,48.1863,0.6536,40.62,96,9,9.6,clear sky
321,Ouallam,NE,14.3188,2.0866,71.94,18,6,7.54,clear sky
322,Berlevag,NO,70.8578,29.0864,32.0,86,100,9.22,overcast clouds
323,Mamallapuram,IN,12.6264,80.1722,78.85,84,43,7.43,scattered clouds
324,Sioux Lookout,CA,50.1001,-91.917,12.27,79,100,19.57,overcast clouds
325,Simao,CN,22.7886,100.9748,69.15,63,66,1.77,broken clouds
326,Kez,RU,57.8979,53.7152,15.13,97,100,2.37,overcast clouds
327,Anapskaya,RU,44.89,37.38,35.83,87,0,15.66,clear sky
328,Vrsac,RS,45.1167,21.3036,41.92,100,0,0.0,clear sky
329,Aksu,CN,41.1231,80.2644,15.3,20,26,3.69,scattered clouds
330,Mount Gambier,AU,-37.8333,140.7667,66.51,56,46,10.42,scattered clouds
331,Anajatuba,BR,-3.2644,-44.6197,75.47,90,21,3.78,few clouds
332,Urumqi,CN,43.801,87.6005,-3.05,78,0,0.0,clear sky
333,Handan,CN,36.6006,114.4678,29.17,26,1,1.61,clear sky
334,Kloulklubed,PW,7.0419,134.2556,84.7,75,100,17.69,overcast clouds
335,Anaconda,US,46.1285,-112.9423,29.39,90,85,7.02,overcast clouds
336,The Valley,AI,18.217,-63.0578,77.14,78,20,6.91,few clouds
337,Caconda,AO,-13.7333,15.0667,62.58,86,100,2.98,overcast clouds
338,Katsuura,JP,35.1333,140.3,56.57,83,100,16.67,overcast clouds
339,Marawi,PH,7.9986,124.2928,79.9,62,54,4.07,broken clouds
340,Manta,EC,-0.95,-80.7333,71.38,83,75,11.5,broken clouds
341,Poum,NC,-20.2333,164.0167,81.9,81,100,15.57,overcast clouds
